Philadelphia_City_Ward,Mode,Season,Day_of_Week,On_,Off_,ObjectId
28,Bus,Fall 2022,Saturday,1677,1504,1134
29,Bus,Fall 2022,Saturday,1345,1258,1135
30,Bus,Fall 2022,Saturday,980,1272,1136
31,Bus,Fall 2022,Saturday,469,614,1137
32,Bus,Fall 2022,Saturday,1884,1912,1138
33,Bus,Fall 2022,Saturday,1312,1748,1139
34,Bus,Fall 2022,Saturday,2194,2196,1140
35,Bus,Fall 2022,Saturday,2809,2563,1141
36,Bus,Fall 2022,Saturday,2197,2550,1142
37,Bus,Fall 2022,Saturday,2168,2094,1143
38,Bus,Fall 2022,Saturday,2120,2035,1144
39,Bus,Fall 2022,Saturday,6118,5201,1145
40,Bus,Fall 2022,Saturday,3282,3295,1146
41,Bus,Fall 2022,Saturday,1494,1314,1147
42,Bus,Fall 2022,Saturday,1545,2338,1148
43,Bus,Fall 2022,Saturday,3001,3110,1149
44,Bus,Fall 2022,Saturday,1794,1903,1150
27,Bus,Fall 2021,Sunday,1791,1962,1151
28,Bus,Fall 2021,Sunday,444,377,1152
29,Bus,Fall 2021,Sunday,419,394,1153
30,Bus,Fall 2021,Sunday,385,570,1154
31,Bus,Fall 2021,Sunday,307,310,1155
32,Bus,Fall 2021,Sunday,725,665,1156
33,Bus,Fall 2021,Sunday,303,200,1157
34,Bus,Fall 2021,Sunday,1272,1261,1158
35,Bus,Fall 2021,Sunday,1006,749,1159
36,Bus,Fall 2021,Sunday,1012,1151,1160
37,Bus,Fall 2021,Sunday,779,853,1161
38,Bus,Fall 2021,Sunday,642,669,1162
39,Bus,Fall 2021,Sunday,3530,3229,1163
40,Bus,Fall 2021,Sunday,2095,2089,1164
41,Bus,Fall 2021,Sunday,284,275,1165
42,Bus,Fall 2021,Sunday,790,1250,1166
43,Bus,Fall 2021,Sunday,1361,1102,1167
44,Bus,Fall 2021,Sunday,1093,1228,1168
45,Bus,Fall 2021,Sunday,817,938,1169
46,Bus,Fall 2021,Sunday,608,661,1170
47,Bus,Fall 2021,Sunday,644,846,1171
48,Bus,Fall 2021,Sunday,744,629,1172
49,Bus,Fall 2021,Sunday,2969,2705,1173
50,Bus,Fall 2021,Sunday,551,544,1174
51,Bus,Fall 2021,Sunday,809,719,1175
52,Bus,Fall 2021,Sunday,1940,1904,1176
53,Bus,Fall 2021,Sunday,307,342,1177
54,Bus,Fall 2021,Sunday,531,539,1178
55,Bus,Fall 2021,Sunday,70,174,1179
56,Bus,Fall 2021,Sunday,1103,1199,1180
57,Bus,Fall 2021,Sunday,258,262,1181
58,Bus,Fall 2021,Sunday,528,547,1182
59,Bus,Fall 2021,Sunday,1783,2066,1183
60,Bus,Fall 2021,Sunday,2352,2357,1184
61,Bus,Fall 2021,Sunday,1434,1230,1185
62,Bus,Fall 2021,Sunday,3720,3253,1186
63,Bus,Fall 2021,Sunday,177,196,1187
64,Bus,Fall 2021,Sunday,430,409,1188
65,Bus,Fall 2021,Sunday,191,177,1189
66,Bus,Fall 2021,Sunday,872,923,1190
1,Bus,Fall 2022,Weekday,3702,3345,1191
2,Bus,Fall 2022,Weekday,3724,3675,1192
3,Bus,Fall 2022,Weekday,2716,2897,1193
4,Bus,Fall 2022,Weekday,2502,2662,1194
5,Bus,Fall 2022,Weekday,26543,22352,1195
6,Bus,Fall 2022,Weekday,2579,2935,1196
7,Bus,Fall 2022,Weekday,3828,3984,1197
8,Bus,Fall 2022,Weekday,18462,19785,1198
9,Bus,Fall 2022,Weekday,1727,1464,1199
10,Bus,Fall 2022,Weekday,2585,2829,1200
5, Bus ,Fall 2023,Sunday,10947,9384,1201
6, Bus ,Fall 2023,Sunday,757,906,1202
7, Bus ,Fall 2023,Sunday,1252,1295,1203
8, Bus ,Fall 2023,Sunday,7462,7888,1204
9, Bus ,Fall 2023,Sunday,752,644,1205
10, Bus ,Fall 2023,Sunday,913,973,1206
11, Bus ,Fall 2023,Sunday,1861,1664,1207
12, Bus ,Fall 2023,Sunday,2701,2327,1208
13, Bus ,Fall 2023,Sunday,3322,3328,1209
14, Bus ,Fall 2023,Sunday,980,900,1210
15, Bus ,Fall 2023,Sunday,826,935,1211
16, Bus ,Fall 2023,Sunday,1170,1228,1212
17, Bus ,Fall 2023,Sunday,1558,1812,1213
18, Bus ,Fall 2023,Sunday,646,652,1214
19, Bus ,Fall 2023,Sunday,1122,1219,1215
20, Bus ,Fall 2023,Sunday,1084,1018,1216
21, Bus ,Fall 2023,Sunday,2093,2017,1217
22, Bus ,Fall 2023,Sunday,957,996,1218
23, Bus ,Fall 2023,Sunday,1472,1631,1219
24, Bus ,Fall 2023,Sunday,779,757,1220
25, Bus ,Fall 2023,Sunday,915,1262,1221
26, Bus ,Fall 2023,Sunday,1582,1883,1222
27, Bus ,Fall 2023,Sunday,2469,2571,1223
28, Bus ,Fall 2023,Sunday,1321,1226,1224
29, Bus ,Fall 2023,Sunday,1026,993,1225
9, Bus ,Fall 2023,Saturday,1049,925,1226
30, Bus ,Fall 2023,Sunday,688,909,1227
31, Bus ,Fall 2023,Sunday,366,469,1228
32, Bus ,Fall 2023,Sunday,1402,1445,1229
33, Bus ,Fall 2023,Sunday,1005,1351,1230
34, Bus ,Fall 2023,Sunday,1532,1526,1231
35, Bus ,Fall 2023,Sunday,1969,1861,1232
36, Bus ,Fall 2023,Sunday,1770,2069,1233
10, Bus ,Fall 2023,Saturday,1301,1338,1234
37, Bus ,Fall 2023,Sunday,1581,1489,1235
11, Bus ,Fall 2023,Saturday,2442,2260,1236
38, Bus ,Fall 2023,Sunday,1568,1563,1237
12, Bus ,Fall 2023,Saturday,3725,3250,1238
39, Bus ,Fall 2023,Sunday,4514,3983,1239
13, Bus ,Fall 2023,Saturday,4497,4396,1240
40, Bus ,Fall 2023,Sunday,2794,2733,1241
14, Bus ,Fall 2023,Saturday,1313,1206,1242
41, Bus ,Fall 2023,Sunday,1136,1028,1243
15, Bus ,Fall 2023,Saturday,1183,1248,1244
42, Bus ,Fall 2023,Sunday,1114,1730,1245
16, Bus ,Fall 2023,Saturday,1544,1634,1246
43, Bus ,Fall 2023,Sunday,2131,2265,1247
17, Bus ,Fall 2023,Saturday,2224,2523,1248
44, Bus ,Fall 2023,Sunday,1307,1459,1249
18, Bus ,Fall 2023,Saturday,826,884,1250
45, Bus ,Fall 2023,Sunday,1971,1404,1251
19, Bus ,Fall 2023,Saturday,1494,1582,1252
46, Bus ,Fall 2023,Sunday,841,891,1253
20, Bus ,Fall 2023,Saturday,1448,1343,1254
47, Bus ,Fall 2023,Sunday,1106,1430,1255
21, Bus ,Fall 2023,Saturday,3129,2986,1256
48, Bus ,Fall 2023,Sunday,1259,1107,1257
22, Bus ,Fall 2023,Saturday,1330,1389,1258
49, Bus ,Fall 2023,Sunday,5057,4376,1259
23, Bus ,Fall 2023,Saturday,1936,2151,1260
50, Bus ,Fall 2023,Sunday,1013,989,1261
24, Bus ,Fall 2023,Saturday,1042,1064,1262
51, Bus ,Fall 2023,Sunday,953,851,1263
25, Bus ,Fall 2023,Saturday,1237,1659,1264
52, Bus ,Fall 2023,Sunday,2157,2173,1265
26, Bus ,Fall 2023,Saturday,2175,2542,1266
53, Bus ,Fall 2023,Sunday,420,433,1267
27, Bus ,Fall 2023,Saturday,3096,3313,1268
54, Bus ,Fall 2023,Sunday,696,733,1269
28, Bus ,Fall 2023,Saturday,1789,1609,1270
55, Bus ,Fall 2023,Sunday,142,273,1271
29, Bus ,Fall 2023,Saturday,1382,1275,1272
56, Bus ,Fall 2023,Sunday,2031,1852,1273
30, Bus ,Fall 2023,Saturday,977,1262,1274
57, Bus ,Fall 2023,Sunday,424,624,1275
31, Bus ,Fall 2023,Saturday,504,638,1276
58, Bus ,Fall 2023,Sunday,1083,732,1277
32, Bus ,Fall 2023,Saturday,1852,1851,1278
13, Bus ,Fall 2023,Weekday,9440,9279,1279
59, Bus ,Fall 2023,Sunday,2537,2825,1280
60, Bus ,Fall 2023,Sunday,2873,2878,1281
61, Bus ,Fall 2023,Sunday,2131,1872,1282
62, Bus ,Fall 2023,Sunday,5489,5003,1283
63, Bus ,Fall 2023,Sunday,385,391,1284
64, Bus ,Fall 2023,Sunday,962,780,1285
65, Bus ,Fall 2023,Sunday,213,208,1286
66, Bus ,Fall 2023,Sunday,1135,1817,1287
14, Bus ,Fall 2023,Weekday,2719,2488,1288
33, Bus ,Fall 2023,Saturday,1317,1729,1289
15, Bus ,Fall 2023,Weekday,2366,2491,1290
34, Bus ,Fall 2023,Saturday,2284,2192,1291
16, Bus ,Fall 2023,Weekday,3206,3472,1292
35, Bus ,Fall 2023,Saturday,2846,2645,1293
17, Bus ,Fall 2023,Weekday,5470,6332,1294
36, Bus ,Fall 2023,Saturday,2439,2715,1295
18, Bus ,Fall 2023,Weekday,1602,1699,1296
37, Bus ,Fall 2023,Saturday,2241,2103,1297
19, Bus ,Fall 2023,Weekday,3026,3274,1298
38, Bus ,Fall 2023,Saturday,2058,2129,1299
20, Bus ,Fall 2023,Weekday,3138,2908,1300
39, Bus ,Fall 2023,Saturday,6488,5674,1301
21, Bus ,Fall 2023,Weekday,6604,6470,1302
40, Bus ,Fall 2023,Saturday,3620,3573,1303
22, Bus ,Fall 2023,Weekday,2823,2606,1304
41, Bus ,Fall 2023,Saturday,1494,1352,1305
23, Bus ,Fall 2023,Weekday,4166,4661,1306
42, Bus ,Fall 2023,Saturday,1612,2386,1307
24, Bus ,Fall 2023,Weekday,2992,2769,1308
43, Bus ,Fall 2023,Saturday,2870,2965,1309
25, Bus ,Fall 2023,Weekday,2284,3204,1310
44, Bus ,Fall 2023,Saturday,1836,1940,1311
26, Bus ,Fall 2023,Weekday,4298,4891,1312
45, Bus ,Fall 2023,Saturday,2510,1779,1313
27, Bus ,Fall 2023,Weekday,9211,10031,1314
46, Bus ,Fall 2023,Saturday,1201,1272,1315
28, Bus ,Fall 2023,Weekday,3337,3016,1316
47, Bus ,Fall 2023,Saturday,1461,1895,1317
29, Bus ,Fall 2023,Weekday,2503,2317,1318
48, Bus ,Fall 2023,Saturday,1704,1476,1319
30, Bus ,Fall 2023,Weekday,2339,3894,1320
49, Bus ,Fall 2023,Saturday,6526,5749,1321
31, Bus ,Fall 2023,Weekday,1226,1546,1322
50, Bus ,Fall 2023,Saturday,1455,1407,1323
32, Bus ,Fall 2023,Weekday,3441,3596,1324
51, Bus ,Fall 2023,Saturday,1313,1195,1325
33, Bus ,Fall 2023,Weekday,2755,3297,1326
52, Bus ,Fall 2023,Saturday,2959,2865,1327
34, Bus ,Fall 2023,Weekday,5445,5190,1328
53, Bus ,Fall 2023,Saturday,613,636,1329
35, Bus ,Fall 2023,Weekday,5930,5750,1330
54, Bus ,Fall 2023,Saturday,1026,1068,1331
36, Bus ,Fall 2023,Weekday,5180,5992,1332
55, Bus ,Fall 2023,Saturday,212,381,1333
37, Bus ,Fall 2023,Weekday,4355,4074,1334
56, Bus ,Fall 2023,Saturday,2933,2656,1335
38, Bus ,Fall 2023,Weekday,5017,4847,1336
57, Bus ,Fall 2023,Saturday,621,872,1337
39, Bus ,Fall 2023,Weekday,11467,10043,1338
58, Bus ,Fall 2023,Saturday,1528,1046,1339
40, Bus ,Fall 2023,Weekday,5593,5738,1340
59, Bus ,Fall 2023,Saturday,3483,3846,1341
41, Bus ,Fall 2023,Weekday,3467,3140,1342
60, Bus ,Fall 2023,Saturday,4003,4141,1343
42, Bus ,Fall 2023,Weekday,3780,4948,1344
61, Bus ,Fall 2023,Saturday,3091,2699,1345
43, Bus ,Fall 2023,Weekday,6220,6155,1346
62, Bus ,Fall 2023,Saturday,6933,6305,1347
44, Bus ,Fall 2023,Weekday,3251,3261,1348
63, Bus ,Fall 2023,Saturday,521,496,1349
45, Bus ,Fall 2023,Weekday,5483,3939,1350
64, Bus ,Fall 2023,Saturday,1255,1096,1351
46, Bus ,Fall 2023,Weekday,2552,2538,1352
65, Bus ,Fall 2023,Saturday,310,301,1353
47, Bus ,Fall 2023,Weekday,3058,3868,1354
66, Bus ,Fall 2023,Saturday,1503,2334,1355
48, Bus ,Fall 2023,Weekday,3764,3288,1356
1, Bus ,Fall 2023,Sunday,1852,1836,1357
49, Bus ,Fall 2023,Weekday,13792,12322,1358
2, Bus ,Fall 2023,Sunday,1375,1310,1359
50, Bus ,Fall 2023,Weekday,2875,2851,1360
3, Bus ,Fall 2023,Sunday,918,997,1361
51, Bus ,Fall 2023,Weekday,2299,2249,1362
4, Bus ,Fall 2023,Sunday,862,952,1363
52, Bus ,Fall 2023,Weekday,6448,5601,1364
53, Bus ,Fall 2023,Weekday,1774,1874,1365
54, Bus ,Fall 2023,Weekday,2286,2342,1366
55, Bus ,Fall 2023,Weekday,634,1047,1367
56, Bus ,Fall 2023,Weekday,6268,5828,1368
57, Bus ,Fall 2023,Weekday,1262,1804,1369
58, Bus ,Fall 2023,Weekday,4349,3125,1370
59, Bus ,Fall 2023,Weekday,7560,8546,1371
60, Bus ,Fall 2023,Weekday,7853,7925,1372
61, Bus ,Fall 2023,Weekday,6374,5806,1373
62, Bus ,Fall 2023,Weekday,14103,12992,1374
63, Bus ,Fall 2023,Weekday,1417,1546,1375
64, Bus ,Fall 2023,Weekday,3140,2653,1376
65, Bus ,Fall 2023,Weekday,1176,1084,1377
66, Bus ,Fall 2023,Weekday,3373,5020,1378
1, Bus ,Fall 2023,Saturday,2630,2465,1379
2, Bus ,Fall 2023,Saturday,2099,2007,1380
3, Bus ,Fall 2023,Saturday,1397,1454,1381
4, Bus ,Fall 2023,Saturday,1219,1362,1382
5, Bus ,Fall 2023,Saturday,16011,14127,1383
6, Bus ,Fall 2023,Saturday,1046,1213,1384
7, Bus ,Fall 2023,Saturday,1712,1771,1385
8, Bus ,Fall 2023,Saturday,10296,11374,1386
