Philadelphia_City_Council_Distr,Mode,Season,Day_of_Week,On_,Off_,ObjectId
6,Bus,Fall 2017,Sunday,6143,6411,107
7,Bus,Fall 2017,Sunday,17500,17664,108
8,Bus,Fall 2017,Sunday,19857,20802,109
9,Bus,Fall 2017,Sunday,16460,15920,110
10,Bus,Fall 2017,Sunday,6365,6419,111
1,Bus,Fall 2018,Weekday,61011,56086,112
2,Bus,Fall 2018,Weekday,38782,38905,113
3,Bus,Fall 2018,Weekday,43995,45212,114
4,Bus,Fall 2018,Weekday,36729,35987,115
5,Bus,Fall 2018,Weekday,58237,58786,116
6,Bus,Fall 2018,Weekday,19667,19668,117
7,Bus,Fall 2018,Weekday,46547,49257,118
8,Bus,Fall 2018,Weekday,54207,55708,119
9,Bus,Fall 2018,Weekday,48063,46656,120
10,Bus,Fall 2018,Weekday,18910,18855,121
1,Bus,Fall 2018,Saturday,30868,28220,122
2,Bus,Fall 2018,Saturday,17806,17771,123
3,Bus,Fall 2018,Saturday,18081,19003,124
4,Bus,Fall 2018,Saturday,16138,15745,125
5,Bus,Fall 2018,Saturday,26069,26441,126
6,Bus,Fall 2018,Saturday,8326,8759,127
7,Bus,Fall 2018,Saturday,21466,22259,128
8,Bus,Fall 2018,Saturday,26038,27334,129
9,Bus,Fall 2018,Saturday,22255,21215,130
10,Bus,Fall 2018,Saturday,8860,8695,131
1,Bus,Fall 2018,Sunday,21290,19547,132
2,Bus,Fall 2018,Sunday,13490,13563,133
3,Bus,Fall 2018,Sunday,13550,14011,134
4,Bus,Fall 2018,Sunday,11764,11695,135
5,Bus,Fall 2018,Sunday,19017,19213,136
6,Bus,Fall 2018,Sunday,5892,6327,137
7,Bus,Fall 2018,Sunday,16578,16988,138
8,Bus,Fall 2018,Sunday,18391,19410,139
9,Bus,Fall 2018,Sunday,15031,14314,140
10,Bus,Fall 2018,Sunday,6499,6308,141
1,Bus,Fall 2019,Weekday,63986,58009,142
2,Bus,Fall 2019,Weekday,38358,39063,143
3,Bus,Fall 2019,Weekday,46012,48143,144
4,Bus,Fall 2019,Weekday,37658,36395,145
5,Bus,Fall 2019,Weekday,60132,62415,146
6,Bus,Fall 2019,Weekday,19041,19427,147
7,Bus,Fall 2019,Weekday,48112,49696,148
8,Bus,Fall 2019,Weekday,55560,57149,149
9,Bus,Fall 2019,Weekday,47917,47114,150
10,Bus,Fall 2019,Weekday,19431,19369,151
1,Bus,Fall 2019,Saturday,33235,29665,152
2,Bus,Fall 2019,Saturday,17781,18350,153
3,Bus,Fall 2019,Saturday,19355,20404,154
4,Bus,Fall 2019,Saturday,17179,16982,155
5,Bus,Fall 2019,Saturday,28011,29121,156
6,Bus,Fall 2019,Saturday,7784,8340,157
7,Bus,Fall 2019,Saturday,22483,23091,158
8,Bus,Fall 2019,Saturday,26270,27537,159
9,Bus,Fall 2019,Saturday,21866,20626,160
