structure_id,id_type,standpipe_status,standpipe_casefile,fire_alarm_status,fire_alarm_casefile,smoke_control_status,smoke_control_casefile,pier_status,pier_casefile,fire_escape_status,fire_escape_casefile,private_bridge_status,private_bridge_casefile,emer_stdby_pwr_sys_status,emer_stdby_pwr_sys_casefile,special_hazards_status,special_hazards_casefile,facade_status,facade_casefile,sprinkler_status,sprinkler_casefile,damper_status,damper_casefile,objectid
1440440,BIN,,,,,,,,,,,,,Expired,,,,,,Deficient,CF-2025-101049,,,5001
1260465,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5002
1492988,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5003
1528384,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5004
1278905,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5005
1030572,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5006
1425345,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5007
1419128,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5008
1359874,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5009
1062131,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5010
1542681,BIN,,,,,,,,,,,,,,,,,,,Active,,,,5011
1361626,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5012
1497717,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5013
1550998,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5014
1440513,BIN,,,,,,,,,,,,,,,Expired,,,,,,,,5015
1369096,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5016
1510196,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5017
1445866,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,5018
1260567,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5019
1341621,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5020
1386428,BIN,,,,,,,,,,,,,,,Active,,,,,,,,5021
1084508,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5022
1369254,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5023
1095375,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5024
1494289,BIN,,,,,,,,,,,,,,,Expired,,,,,,,,5025
1548644,BIN,,,,,,,,,,,,,,,,,,,Active,,,,5026
1082162,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,5027
1495989,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5028
1427706,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5029
1373581,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,5030
1261565,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5031
1331186,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5032
1223009,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5033
1528476,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5034
1151393,BIN,,,,,,,,,,,,,,,Active,,,,,,,,5035
1251314,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5036
1076070,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5037
1137241,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5038
1288660,BIN,,,,,,,,,,,,,,,,,,,Deficient,,,,5039
1014314,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5040
1513204,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5041
1549410,BIN,,,,,,,,,,,,,,,,,,,Active,,,,5042
1218890,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,5043
1081909,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5044
1365986,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5045
1002106,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5046
1151985,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5047
1436435,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5048
1402469,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5049
1400864,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5050
1466081,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5051
1207742,BIN,,,,,,,,,,,,,,,Expired,,,,,,,,5052
1114806,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5053
1440520,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,5054
1435856,BIN,,,,,,,,,,,,,,,,,,,Active,,,,5055
1541776,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,5056
1100234,BIN,,,,,,,,,,,,,,,Expired,,,,,,,,5057
1445749,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5058
1503286,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5059
1452326,BIN,,,,,,,,,,,,,,,Expired,,,,,,,,5060
1510626,BIN,,,,,,,,,,,,,,,Deficient,CF-2025-093058,,,,,,,5061
1498093,BIN,,,,,,,,,Active,,,,,,,,,,,,,,5062
1469326,BIN,,,Active,,,,,,,,,,,,,,,,,,,,5063
1526774,BIN,,,,,,,,,,,,,,,Expired,,,,,,,,5064
1192878,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5065
1549415,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5066
1503562,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,5067
1550797,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,5068
1300303,BIN,,,Expired,,,,,,Active,,,,,,,,,,,,,,5069
1134418,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,5070
1416436,BIN,,,Active,,,,,,,,,,Active,,,,,,Active,,,,5071
1151805,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,5072
1544681,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,5073
1548194,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,5074
1188227,BIN,,,Active,,,,,,,,,,Active,,,,,,Active,,,,5075
1419182,BIN,,,Expired,,,,,,,,,,Expired,,,,,,Active,,,,5076
1190018,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,5077
1472110,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,5078
